 	Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
134	4	41	556.215	477.075	0	24.187	2.751	9.174	34.220	137.996	2.396E-8
135	4	42	538.014	479.348	0	24.912	2.747	9.137	33.969	136.464	4.297E-25
136	4	43	518.718	482.239	0	24.860	2.729	9.000	33.108	131.372	1.532E-18
137	4	44	499.503	484.224	0	24.319	2.758	9.190	34.161	136.908	2.551E-15
138	4	45	475.058	483.744	0	23.330	2.777	9.335	35.083	142.473	0.003
139	4	46	455.104	483.374	0	23.413	2.746	9.132	33.940	136.291	7.988E-8
140	4	47	436.875	486.156	0	22.402	2.831	9.725	37.413	155.788	1.410E-4
141	4	48	416.771	483.944	0	21.080	2.806	9.570	36.604	151.652	3.343
142	4	49	399.037	483.423	0	19.255	2.936	10.608	43.601	197.254	3.224E-32
143	4	50	378.133	482.890	0	24.501	3.258	13.100	59.970	301.153	3.368E-40
144	4	51	361.069	482.309	0	19.403	2.838	9.816	38.199	161.616	9.217E-12
145	4	52	346.906	483.924	0	20.365	2.849	9.915	38.895	166.170	0.001
146	4	53	322.600	482.698	0	20.831	2.781	9.375	35.355	144.130	2.915E-5
147	4	54	309.360	484.882	0	19.556	2.841	9.799	37.874	158.419	1.361E-26
148	4	55	288.835	485.810	0	18.298	2.879	10.102	39.844	170.576	0
149	4	56	271.772	487.870	0	16.567	3.074	11.583	49.383	229.747	0
150	4	57	255.243	484.947	0	19.165	2.845	9.849	38.285	161.434	0
151	4	58	236.715	485.244	0	18.654	2.844	9.838	38.220	161.121	2.007E-33
152	4	59	216.027	487.662	0	17.711	2.946	10.647	43.554	194.639	0
153	4	60	199.571	489.435	0	17.626	2.926	10.441	41.954	183.303	0
154	5	40	1023.018	817.925	0	21.402	2.891	10.202	40.573	175.685	4.099E-4
155	5	41	1005.302	817.971	0	21.024	2.864	9.977	39.036	165.786	0.005
156	5	42	986.364	815.047	0	18.784	2.977	10.876	44.969	203.083	1.633E-18
157	5	45	942.564	812.555	0	19.493	2.907	10.318	41.212	178.767	2.197E-15
158	5	46	922.517	815.969	0	21.568	2.831	9.777	38.036	161.011	0.022
159	5	47	902.461	816.019	0	23.875	2.771	9.326	35.194	143.930	1.390E-4
160	5	48	883.896	817.168	0	23.582	2.772	9.323	35.109	143.108	3.040E-13
161	5	49	866.724	816.118	0	22.904	2.765	9.287	34.954	142.494	3.224E-32
162	5	50	851.973	814.262	0	21.491	2.866	9.991	39.098	165.870	3.368E-40
163	5	51	832.106	816.225	0	21.777	2.843	9.837	38.204	160.882	9.217E-12
164	5	52	813.852	819.282	0	21.698	2.810	9.599	36.786	152.771	0.001
165	5	53	795.584	825.528	0	22.446	2.809	9.563	36.400	149.700	2.915E-5
166	5	54	777.852	826.912	0	23.081	2.817	9.612	36.705	151.602	1.361E-26
167	5	55	756.954	826.533	0	23.377	2.754	9.216	34.556	140.253	0
168	5	56	731.515	827.573	0	22.841	2.768	9.244	34.388	137.801	0
169	5	57	714.832	828.192	0	24.734	2.742	9.112	33.852	135.937	0
170	5	58	692.562	832.880	0	22.579	2.783	9.383	35.378	144.115	2.007E-33
171	5	59	677.248	835.159	0	22.698	2.819	9.642	36.932	153.079	0
172	5	60	655.172	833.212	0	22.351	2.840	9.779	37.701	157.249	0
173	5	61	636.507	836.728	0	23.152	2.763	9.239	34.517	139.228	2.490
174	5	62	620.527	839.610	0	24.506	2.743	9.090	33.567	133.506	9.046
175	5	63	604.253	838.733	0	23.706	2.775	9.302	34.790	140.339	0.170
176	5	64	584.134	838.294	0	23.101	2.783	9.392	35.446	144.595	3.288E-7
177	5	65	568.791	839.005	0	22.887	2.825	9.700	37.361	156.022	4.346E-10
178	5	66	544.784	836.421	0	23.662	2.746	9.114	33.749	134.751	1.006
179	5	67	527.420	837.782	0	22.181	2.773	9.310	34.933	141.561	4.698E-33
180	5	68	504.442	838.829	0	21.063	2.849	9.833	37.949	158.258	0
181	5	69	482.503	837.248	0	21.173	2.818	9.638	36.936	153.217	0
182	5	70	466.729	842.130	0	19.507	2.927	10.462	42.111	184.330	0
183	5	71	449.550	840.285	0	19.999	2.838	9.785	37.828	158.341	0
184	6	61	1031.104	1180.624	0	22.573	2.737	9.050	33.408	133.133	2.490
185	6	62	1005.081	1178.666	0	24.834	2.731	9.018	33.248	132.292	9.046
186	6	63	984.324	1175.883	0	24.650	2.757	9.177	34.076	136.506	0.170
187	6	64	963.479	1173.327	0	24.928	2.723	8.942	32.694	128.703	3.288E-7
188	6	65	940.276	1177.060	0	25.084	2.804	9.501	35.918	146.506	4.346E-10
189	6	66	918.996	1174.949	0	23.100	2.813	9.600	36.705	152.049	1.006
190	6	67	900.211	1176.919	0	26.107	2.748	9.125	33.833	135.448	4.698E-33
191	6	68	880.242	1178.311	0	25.965	2.749	9.121	33.742	134.560	0
192	6	69	859.276	1182.655	0	26.431	2.758	9.173	33.993	135.738	0
193	6	70	837.527	1184.793	0	26.644	2.744	9.081	33.469	132.875	0
194	6	71	814.486	1184.959	0	26.804	2.790	9.410	35.456	144.310	0
195	6	72	794.042	1184.072	0	27.560	2.771	9.271	34.629	139.725	3.4e38
196	6	73	776.394	1183.931	0	27.610	2.754	9.141	33.827	135.070	3.4e38
197	6	74	757.507	1182.080	0	27.654	2.770	9.236	34.300	137.274	3.4e38
198	6	75	736.711	1183.816	0	27.559	2.767	9.213	34.161	136.458	3.4e38
199	6	76	714.136	1188.347	0	26.802	2.788	9.384	35.236	142.727	3.4e38
200	6	77	696.346	1190.289	0	26.543	2.762	9.214	34.284	137.619	0
201	6	78	678.203	1192.351	0	27.300	2.762	9.196	34.144	136.740	0
202	6	79	660.114	1192.026	0	27.532	2.789	9.399	35.399	144.131	0
203	6	80	642.103	1188.741	0	27.819	2.775	9.269	34.505	138.477	0
204	6	81	623.283	1192.018	0	27.210	2.786	9.378	35.267	143.314	0
205	6	82	604.178	1194.752	0	27.400	2.769	9.240	34.369	137.843	0
206	6	83	579.499	1194.027	0	26.282	2.790	9.414	35.492	144.528	0
207	6	84	559.834	1191.283	0	26.530	2.748	9.121	33.785	135.047	0
208	6	85	537.553	1184.790	0	27.093	2.731	8.985	32.930	130.053	0
209	6	86	520.265	1187.598	0	26.304	2.746	9.105	33.650	134.057	4.326E-15
210	6	87	501.243	1191.238	0	25.058	2.771	9.294	34.842	141.047	0
211	6	88	480.571	1194.114	0	24.008	2.823	9.652	36.903	152.456	8.894E-10
212	6	89	461.959	1196.422	0	24.697	2.795	9.451	35.724	145.914	4.074E-31
213	6	90	438.654	1194.713	0	24.349	2.790	9.410	35.437	144.028	1.243E-15
214	6	91	417.997	1195.603	0	23.426	2.827	9.680	37.082	153.517	1.488E-18
215	6	92	397.820	1196.265	0	22.985	2.780	9.361	35.239	143.363	3.375E-30
216	6	93	378.204	1193.989	0	24.498	2.777	9.352	35.282	144.124	3.851E-4
217	6	94	361.660	1198.310	0	23.627	2.779	9.330	34.939	141.036	6.979E-32
218	6	95	341.405	1195.288	0	24.293	2.742	9.082	33.550	133.583	6.221E-12
219	6	96	323.592	1192.555	0	23.567	2.742	9.080	33.514	133.267	3.628E-36
220	6	97	303.094	1193.014	0	23.926	2.786	9.418	35.648	146.046	1.259E-13
221	6	98	281.171	1193.847	0	23.122	2.784	9.385	35.361	143.961	4.226E-10
222	6	99	264.063	1194.651	0	21.490	2.800	9.504	36.090	148.127	3.115
223	6	100	243.416	1195.011	0	21.222	2.807	9.562	36.489	150.720	8.991E-6
224	6	101	224.734	1197.944	0	19.981	2.844	9.810	37.879	158.161	4.272E-20
225	7	77	339.958	843.184	0	17.935	2.966	10.788	44.381	199.276	4.464E-18
226	7	79	307.287	844.188	0	19.597	2.842	9.822	38.082	160.026	0
227	7	80	288.750	844.005	0	19.535	2.868	10.012	39.278	167.267	1.664E-18
228	8	77	887.205	1285.602	0	20.815	3.062	11.286	46.329	204.805	4.464E-18
229	8	78	862.468	1286.813	0	22.060	2.989	10.758	43.111	186.011	0
230	8	80	816.279	1285.285	0	22.355	3.007	10.900	44.080	192.335	1.664E-18
231	8	81	791.206	1283.129	0	21.402	3.090	11.518	47.960	215.616	7.006E-45
232	8	84	719.277	1287.455	0	20.935	3.108	11.627	48.494	217.972	0
233	8	85	696.641	1286.647	0	22.865	3.027	11.016	44.643	194.817	0
234	8	86	670.047	1285.856	0	24.270	2.997	10.845	43.832	191.219	4.326E-15
235	8	87	645.885	1287.737	0	21.429	3.203	12.427	54.133	255.961	0
236	8	88	618.629	1287.112	0	22.478	3.047	11.194	45.892	202.881	8.894E-10
237	8	89	597.929	1280.062	0	21.674	3.124	11.777	49.591	225.347	4.074E-31
238	8	90	571.087	1280.425	0	22.290	3.045	11.193	45.945	203.547	1.243E-15
239	8	91	545.636	1279.827	0	21.192	3.108	11.623	48.427	217.311	1.488E-18
240	8	92	516.343	1279.827	0	20.256	3.149	11.944	50.531	230.458	3.375E-30
241	9	81	236.750	609.577	0	17.220	2.821	9.678	37.229	155.035	7.006E-45
242	9	82	217.931	611.695	0	17.357	2.822	9.716	37.605	157.963	0
243	9	83	193.904	614.756	0	18.030	2.811	9.593	36.659	151.590	0
244	9	87	126.632	627.830	0	16.301	2.863	9.992	39.172	166.544	0
245	10	93	1021.195	958.249	0	25.284	2.957	10.580	42.355	183.421	3.851E-4
